,일시,평균기온,최고기온,최저기온,일조합,일조율,일사합,평균풍속,최대풍속,최대풍속풍향,강수량,평균습도,최저습도
126,2015-05-07,17.2,21.7,13.2,12.5,91.2,27.87,2.2,4.4,320.0,0.0,45.4,20.0
127,2015-05-08,17.7,20.8,14.5,7.8,56.9,21.5,1.8,3.6,20.0,0.0,46.1,16.0
128,2015-05-09,17.5,20.7,15.0,9.9,72.3,25.84,2.7,6.8,20.0,1.9,70.0,46.0
129,2015-05-10,18.0,23.0,14.7,9.6,69.6,25.46,3.0,6.6,50.0,0.0,76.9,48.0
130,2015-05-11,19.8,23.1,15.9,0.0,0.0,4.05,4.5,8.6,270.0,69.3,81.1,56.0
131,2015-05-12,18.5,21.6,14.0,11.0,79.7,27.55,6.6,10.1,230.0,4.3,61.0,40.0
132,2015-05-13,23.0,27.3,19.2,12.8,92.8,28.77,5.8,9.7,230.0,0.0,39.5,17.0
133,2015-05-14,23.8,29.4,19.4,2.8,20.1,15.58,2.6,6.7,230.0,0.0,59.6,28.0
134,2015-05-15,19.7,23.0,17.3,6.9,49.6,17.81,1.9,4.6,20.0,2.9,86.5,73.0
135,2015-05-16,19.0,22.1,16.6,10.2,73.4,24.6,2.1,3.8,290.0,0.0,61.6,44.0
136,2015-05-17,19.3,26.4,16.1,8.0,57.6,22.39,2.0,6.7,50.0,0.0,50.3,21.0
137,2015-05-18,16.2,19.0,14.9,0.0,0.0,3.05,1.9,5.0,70.0,35.0,90.0,58.0
138,2015-05-19,16.3,19.3,14.8,6.6,47.1,22.06,2.0,4.2,270.0,0.0,91.9,78.0
139,2015-05-20,17.4,22.1,14.7,11.0,78.6,27.9,3.2,5.7,270.0,0.0,73.4,37.0
140,2015-05-21,18.4,22.8,14.1,12.4,88.6,28.07,2.1,4.1,270.0,0.0,62.0,44.0
141,2015-05-22,19.8,24.1,17.0,8.9,63.6,24.9,1.9,3.9,20.0,0.0,57.1,26.0
142,2015-05-23,18.8,21.7,17.4,2.0,14.2,14.59,1.8,4.1,20.0,0.0,66.6,51.0
143,2015-05-24,20.2,23.5,17.7,12.3,87.2,28.32,2.1,4.4,270.0,0.0,57.3,32.0
144,2015-05-25,20.1,23.6,17.1,13.2,93.6,29.05,2.3,4.5,290.0,0.0,50.3,32.0
145,2015-05-26,19.2,23.7,15.7,12.2,86.5,27.52,1.8,4.2,340.0,0.0,73.4,43.0
146,2015-05-27,20.5,23.4,17.4,3.7,26.2,15.85,1.6,3.7,20.0,0.0,65.9,46.0
147,2015-05-28,22.6,27.6,18.0,10.0,70.4,26.18,3.6,7.5,50.0,0.9,58.5,36.0
148,2015-05-29,21.3,25.3,19.0,7.6,53.5,23.8,3.1,7.8,50.0,0.0,74.4,49.0
149,2015-05-30,18.9,20.9,17.8,0.8,5.6,5.04,1.7,4.8,70.0,4.2,91.0,77.0
150,2015-05-31,19.7,23.0,17.6,9.9,69.7,26.11,1.7,3.6,360.0,0.0,81.3,67.0
151,2015-06-01,20.6,24.8,17.6,11.1,78.2,26.87,2.1,5.1,290.0,0.0,77.4,59.0
152,2015-06-02,20.2,21.8,18.5,0.6,4.2,6.36,1.8,6.4,50.0,39.9,89.4,75.0
153,2015-06-03,21.4,25.5,18.5,9.6,67.1,27.88,2.5,5.0,320.0,1.1,66.3,45.0
154,2015-06-04,20.6,23.9,17.6,12.5,87.4,28.6,1.8,3.6,20.0,0.0,63.1,47.0
155,2015-06-05,17.2,22.2,15.4,4.1,28.7,11.28,1.9,4.8,20.0,14.3,83.6,49.0
156,2015-06-06,19.9,26.3,15.3,13.1,91.6,28.36,2.0,4.9,270.0,0.0,74.5,51.0
157,2015-06-07,21.7,26.0,18.0,1.3,9.1,13.66,1.9,6.4,250.0,0.0,68.9,46.0
158,2015-06-08,20.9,24.0,18.5,0.0,0.0,7.35,2.4,6.5,140.0,4.4,83.1,65.0
159,2015-06-09,21.2,24.2,18.5,3.4,23.8,17.31,1.4,3.0,360.0,0.0,86.4,74.0
160,2015-06-10,22.9,28.9,18.1,7.9,55.2,22.07,2.1,6.0,50.0,0.0,77.5,53.0
161,2015-06-11,22.6,26.5,20.2,0.1,0.7,9.64,1.7,4.4,230.0,0.9,88.4,76.0
162,2015-06-12,26.0,30.6,21.9,11.3,78.5,26.55,2.4,5.3,290.0,0.0,60.8,43.0
163,2015-06-13,24.1,28.7,21.5,1.8,12.5,13.26,1.8,5.7,20.0,0.0,67.1,43.0
164,2015-06-14,22.9,25.4,20.9,5.1,35.4,19.99,1.4,3.7,20.0,0.0,82.9,74.0
165,2015-06-15,22.8,25.3,20.9,2.0,13.9,17.52,2.0,4.2,320.0,0.0,80.5,68.0
166,2015-06-16,22.2,25.3,21.1,4.0,27.8,16.75,2.6,5.4,290.0,0.7,85.0,72.0
167,2015-06-17,20.6,21.6,19.6,0.0,0.0,4.71,2.0,5.3,50.0,15.4,88.5,77.0
168,2015-06-18,22.0,25.6,19.7,3.0,20.8,14.21,2.5,5.0,50.0,0.1,79.9,67.0
169,2015-06-19,22.9,25.8,19.9,11.3,78.5,26.97,2.1,5.1,20.0,0.0,76.0,61.0
170,2015-06-20,22.0,24.2,19.4,1.9,13.2,13.42,1.6,4.1,20.0,0.0,79.4,70.0
171,2015-06-21,22.1,24.6,20.5,9.9,68.8,27.62,2.3,4.0,320.0,2.0,80.0,67.0
172,2015-06-22,21.7,24.3,20.5,0.0,0.0,6.31,1.5,3.9,250.0,0.3,81.1,74.0
173,2015-06-23,23.5,26.9,20.9,2.3,16.0,16.12,2.4,5.5,110.0,0.0,79.9,65.0
174,2015-06-24,22.1,23.2,21.1,0.0,0.0,3.96,3.1,6.7,90.0,32.7,91.4,81.0
175,2015-06-25,23.6,25.9,21.5,0.0,0.0,8.49,3.3,6.1,70.0,7.9,88.6,76.0
176,2015-06-26,23.5,27.8,21.2,0.7,4.9,10.38,5.4,8.8,250.0,2.7,85.0,75.0
177,2015-06-27,21.2,22.2,20.5,0.0,0.0,4.9,2.0,3.7,20.0,9.2,90.1,83.0
178,2015-06-28,22.0,25.9,19.8,7.7,53.5,24.11,3.2,5.4,70.0,0.0,77.1,60.0
179,2015-06-29,22.3,25.8,19.2,5.0,34.7,21.15,2.4,7.2,20.0,0.0,77.8,66.0
180,2015-06-30,21.9,26.4,19.6,0.0,0.0,3.54,2.5,7.6,250.0,54.8,94.4,79.0
